,City,Country,Latitude,Longitude,Max_Temperature,Humidity,Cloudiness,Wind_Speed
0,Ushuaia,AR,-54.81,-68.31,33.8,80,90,25.28
1,Busselton,AU,-33.64,115.35,55.2,100,48,28.1
2,Puerto Ayora,EC,-0.74,-90.35,75.2,69,40,20.8
3,Kapaa,US,22.08,-159.32,84.2,70,75,20.8
4,Bluff,AU,-23.58,149.07,69.24,68,0,4.05
5,Tarragona,ES,41.12,1.25,82.4,65,0,0.58
6,Banjar,ID,-7.37,108.54,65.55,84,12,4.05
7,Usinsk,RU,66.0,57.56,39.9,93,24,6.62
8,Faanui,PF,-16.48,-151.75,78.42,100,68,14.12
9,Sitka,US,37.17,-99.65,93.81,32,0,21.16
10,Cherskiy,RU,68.75,161.3,57.27,44,0,9.08
11,Arraial do Cabo,BR,-22.97,-42.02,68.7,100,92,23.73
12,Kavaratti,IN,10.57,72.64,82.65,96,8,12.1
13,Severo-Kurilsk,RU,50.68,156.12,54.84,96,56,3.38
14,Ribeira Grande,PT,38.52,-28.7,72.75,100,88,8.52
15,Anadyr,RU,64.73,177.51,50.0,66,75,20.13
16,Sasvad,IN,18.33,74.03,69.24,98,88,10.76
17,Cedar City,US,37.68,-113.06,86.0,35,75,16.11
18,Provideniya,RU,64.42,-173.23,48.36,100,80,11.99
19,Rikitea,PF,-23.12,-134.97,71.94,100,92,4.72
20,Klaksvik,FO,62.23,-6.59,51.8,100,92,8.05
21,Chuy,UY,-33.69,-53.46,55.02,94,88,8.52
22,Rosarito,CO,4.91,-75.23,78.8,74,75,3.36
23,New Norfolk,AU,-42.78,147.06,51.8,66,20,9.17
24,Hilo,US,19.71,-155.08,82.4,69,75,14.99
25,Susanville,US,40.42,-120.65,89.6,9,1,11.41
26,Cockburn Town,TC,21.46,-71.14,82.47,97,80,19.48
27,Ahipara,NZ,-35.17,173.16,55.02,100,8,5.06
28,Petropavlovskaya,RU,45.08,40.45,66.99,79,24,8.08
29,Leningradskiy,RU,69.38,178.42,37.11,99,0,8.08
30,Osoyoos,CA,49.03,-119.47,82.4,30,40,8.05
31,Huainan,CN,32.59,117.01,81.3,97,68,5.06
32,Saint-Francois,FR,46.42,3.91,71.6,73,0,1.12
33,Punta Arenas,CL,-53.16,-70.91,32.0,98,40,16.11
34,Butaritari,KI,3.07,172.79,81.3,100,76,9.98
35,Kieta,PG,-6.22,155.63,79.86,100,64,5.61
36,Erenhot,CN,43.65,111.97,72.12,99,80,7.18
37,Patos,BR,-7.03,-37.28,70.86,64,8,10.76
38,Lebu,ET,8.96,38.73,47.01,91,48,2.59
39,Whitehorse,CA,60.72,-135.06,68.0,37,75,18.34
40,Mar del Plata,AR,-46.43,-67.52,48.72,50,0,19.6
41,Bethel,US,60.79,-161.76,64.4,72,20,12.75
42,Port-Gentil,GA,-0.72,8.78,72.84,100,36,13.0
43,Enshi,CN,30.29,109.48,73.47,86,12,3.15
44,Mataura,NZ,-46.19,168.86,46.29,100,0,5.06
45,Birin,SY,35.01,36.67,70.05,90,0,6.06
46,Puerto Penasco,MX,31.32,-113.53,91.56,79,0,7.07
47,Atuona,PF,-9.8,-139.03,79.77,100,0,13.11
48,Rio Brilhante,BR,-21.8,-54.54,66.54,90,92,7.74
49,Kargil,PK,34.56,76.13,29.46,98,68,1.36
50,Vaini,IN,15.34,74.49,68.34,98,92,6.4
51,Abha,SA,18.22,42.5,69.8,77,40,6.93
52,Norman Wells,CA,65.28,-126.83,57.2,71,90,8.05
53,Hithadhoo,MV,-0.6,73.08,80.22,100,64,3.94
54,Luena,AO,-11.78,19.91,60.51,76,48,2.15
